K,Metric,Dataset,Voting,CV,Accuracy,F-score,Precision,Recall
3,euclidean,iris,uniform,2,0.96,0.9599572649572649,0.960901771336554,0.96
3,euclidean,iris,uniform,3,0.9468954248366014,0.9468614718614718,0.9475308641975309,0.9468954248366012
3,euclidean,iris,uniform,4,0.9465811965811965,0.9463802622498274,0.9509712509712511,0.9465811965811965
3,euclidean,iris,uniform,5,0.9400000000000001,0.9394445710235184,0.9494949494949496,0.9399999999999998
3,euclidean,iris,uniform,6,0.9668209876543209,0.9665350740686138,0.971604938271605,0.9668209876543209
5,euclidean,iris,uniform,2,0.96,0.9599839935974389,0.9604700854700854,0.96
5,euclidean,iris,uniform,3,0.9734477124183006,0.9734352652758725,0.9742193173565723,0.9734477124183006
5,euclidean,iris,uniform,4,0.9583333333333333,0.9582362082362083,0.9603174603174603,0.9583333333333334
5,euclidean,iris,uniform,5,0.9600000000000002,0.9598997493734336,0.9622895622895623,0.9600000000000002
5,euclidean,iris,uniform,6,0.9591049382716049,0.9586176770903293,0.9660493827160495,0.9591049382716049
7,euclidean,iris,uniform,2,0.9533333333333334,0.9533199946645325,0.9535470085470085,0.9533333333333333
7,euclidean,iris,uniform,3,0.9803921568627452,0.9803411095077763,0.9821312540610787,0.9803921568627452
7,euclidean,iris,uniform,4,0.9604700854700854,0.9604700854700855,0.9604700854700855,0.9604700854700855
7,euclidean,iris,uniform,5,0.9466666666666667,0.9463638895217843,0.9523232323232322,0.9466666666666667
7,euclidean,iris,uniform,6,0.9668209876543209,0.9667010663914689,0.9703703703703703,0.9668209876543209
9,euclidean,iris,uniform,2,0.96,0.9599839935974391,0.9604700854700854,0.96
9,euclidean,iris,uniform,3,0.9407679738562091,0.9406704084914078,0.9423689943813782,0.9407679738562091
9,euclidean,iris,uniform,4,0.9674145299145299,0.9673644659151905,0.9687881562881563,0.9674145299145299
9,euclidean,iris,uniform,5,0.9533333333333334,0.95314852788537,0.9573737373737373,0.9533333333333334
9,euclidean,iris,uniform,6,0.9483024691358025,0.9482016588311738,0.9512345679012344,0.9483024691358023
11,euclidean,iris,uniform,2,0.9733333333333334,0.9733333333333333,0.9733333333333333,0.9733333333333333
11,euclidean,iris,uniform,3,0.9460784313725489,0.9459468635939224,0.9480820105820106,0.9460784313725489
11,euclidean,iris,uniform,4,0.9465811965811965,0.9464949006977992,0.9483918858918859,0.9465811965811965
11,euclidean,iris,uniform,5,0.96,0.9598319029897976,0.9634343434343435,0.96
11,euclidean,iris,uniform,6,0.9598765432098765,0.9596178627396378,0.9638888888888889,0.9598765432098765
13,euclidean,iris,uniform,2,0.9466666666666667,0.9466239316239315,0.9475684380032207,0.9466666666666667
13,euclidean,iris,uniform,3,0.9669117647058822,0.9667454635196572,0.9706245461147422,0.9669117647058822
13,euclidean,iris,uniform,4,0.9658119658119659,0.9657053440386774,0.9682539682539683,0.9658119658119658
13,euclidean,iris,uniform,5,0.9666666666666668,0.9661728917348785,0.9724941724941726,0.9666666666666668
13,euclidean,iris,uniform,6,0.9598765432098766,0.9594472974374936,0.9664421997755331,0.9598765432098766
15,euclidean,iris,uniform,2,0.94,0.9396700909102076,0.9454707170224412,0.94
15,euclidean,iris,uniform,3,0.9734477124183006,0.9734352652758725,0.9742193173565723,0.9734477124183006
15,euclidean,iris,uniform,4,0.9604700854700855,0.9604079441760601,0.9623778998778999,0.9604700854700855
15,euclidean,iris,uniform,5,0.96,0.9598997493734336,0.9609427609427609,0.96
15,euclidean,iris,uniform,6,0.9583333333333334,0.9580584085486047,0.9626543209876544,0.9583333333333334
17,euclidean,iris,uniform,2,0.9466666666666667,0.9466453247965853,0.9471153846153846,0.9466666666666665
17,euclidean,iris,uniform,3,0.9591503267973857,0.9591049382716049,0.9605263157894736,0.9591503267973857
17,euclidean,iris,uniform,4,0.9652777777777778,0.9652657004830918,0.9658119658119658,0.9652777777777778
17,euclidean,iris,uniform,5,0.9533333333333334,0.95314852788537,0.9560269360269359,0.9533333333333331
17,euclidean,iris,uniform,6,0.9660493827160493,0.9659213392959524,0.967989417989418,0.9660493827160493
19,euclidean,iris,uniform,2,0.9533333333333334,0.953298627143165,0.9545346628679962,0.9533333333333333
19,euclidean,iris,uniform,3,0.9591503267973857,0.9590413943355119,0.9604730781201369,0.9591503267973857
19,euclidean,iris,uniform,4,0.953525641025641,0.9531186406186407,0.9594017094017094,0.9535256410256411
19,euclidean,iris,uniform,5,0.9533333333333334,0.95314852788537,0.9573737373737373,0.9533333333333334
19,euclidean,iris,uniform,6,0.9537037037037037,0.9534096679607517,0.9586419753086419,0.9537037037037037
21,euclidean,iris,uniform,2,0.9466666666666668,0.9464090177133655,0.9499945265462506,0.9466666666666665
21,euclidean,iris,uniform,3,0.9473039215686274,0.9469132263699328,0.9530099076667704,0.9473039215686274
21,euclidean,iris,uniform,4,0.9529914529914529,0.9529819563152897,0.9534493284493285,0.952991452991453
21,euclidean,iris,uniform,5,0.9533333333333334,0.9531819447608921,0.9561616161616161,0.9533333333333334
21,euclidean,iris,uniform,6,0.9544753086419754,0.9542276169727151,0.9580246913580247,0.9544753086419754
23,euclidean,iris,uniform,2,0.9266666666666667,0.9259618175214321,0.9363566540985897,0.9266666666666665
23,euclidean,iris,uniform,3,0.9473039215686274,0.9465293809240788,0.9565156206023079,0.9473039215686274
23,euclidean,iris,uniform,4,0.9545940170940171,0.9540629685157421,0.9623397435897436,0.954594017094017
23,euclidean,iris,uniform,5,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334
23,euclidean,iris,uniform,6,0.9683641975308642,0.968260520582502,0.970216049382716,0.9683641975308642
25,euclidean,iris,uniform,2,0.94,0.9394075812143039,0.9479769782189138,0.94
25,euclidean,iris,uniform,3,0.9538398692810457,0.9537991279926764,0.9548838053740015,0.9538398692810457
25,euclidean,iris,uniform,4,0.953525641025641,0.9528919631093543,0.9600930115635997,0.953525641025641
25,euclidean,iris,uniform,5,0.96,0.9597984861142755,0.9632996632996633,0.96
25,euclidean,iris,uniform,6,0.9598765432098765,0.9598220769789397,0.9614197530864197,0.9598765432098765
27,euclidean,iris,uniform,2,0.9533333333333334,0.9532128997725143,0.9552813852813853,0.9533333333333333
27,euclidean,iris,uniform,3,0.9595588235294118,0.9592202404215752,0.9657894736842105,0.9595588235294117
27,euclidean,iris,uniform,4,0.9460470085470085,0.9458311843819092,0.9486263736263737,0.9460470085470086
27,euclidean,iris,uniform,5,0.9666666666666668,0.9664818612187034,0.9707070707070707,0.9666666666666666
27,euclidean,iris,uniform,6,0.9537037037037037,0.9532553469730972,0.9608866442199776,0.9537037037037037
29,euclidean,iris,uniform,2,0.9133333333333333,0.9125712250712251,0.9182098765432098,0.9133333333333333
29,euclidean,iris,uniform,3,0.9338235294117648,0.9332731338149296,0.9380371806842396,0.9338235294117648
29,euclidean,iris,uniform,4,0.9658119658119658,0.9654597040104287,0.970970695970696,0.9658119658119658
29,euclidean,iris,uniform,5,0.9666666666666668,0.9663805979595452,0.9717171717171718,0.9666666666666666
29,euclidean,iris,uniform,6,0.9737654320987654,0.9735566448801743,0.9775533108866442,0.9737654320987654
3,minkowski,iris,uniform,2,0.9666666666666667,0.9665944065301753,0.9688095238095238,0.9666666666666666
3,minkowski,iris,uniform,3,0.9599673202614379,0.959944684944685,0.9606481481481483,0.9599673202614379
3,minkowski,iris,uniform,4,0.9529914529914529,0.952857334560233,0.9561299811299813,0.952991452991453
3,minkowski,iris,uniform,5,0.9533333333333334,0.9530138477506899,0.9595959595959597,0.9533333333333334
3,minkowski,iris,uniform,6,0.9390432098765432,0.9384823715061072,0.946384479717813,0.9390432098765432
5,minkowski,iris,uniform,2,0.96,0.9599358974358974,0.9608158883521203,0.96
5,minkowski,iris,uniform,3,0.960375816993464,0.9602725927994746,0.9623399457248786,0.960375816993464
5,minkowski,iris,uniform,4,0.954059829059829,0.9538005821339155,0.9579004329004329,0.9540598290598291
5,minkowski,iris,uniform,5,0.9533333333333334,0.9532497911445279,0.9550168350168349,0.9533333333333334
5,minkowski,iris,uniform,6,0.9591049382716049,0.9588381356441213,0.9632716049382716,0.9591049382716049
7,minkowski,iris,uniform,2,0.96,0.9599197366622281,0.9623778998778999,0.96
7,minkowski,iris,uniform,3,0.9734477124183006,0.9733898767500918,0.9755953063486604,0.9734477124183006
7,minkowski,iris,uniform,4,0.9594017094017094,0.9592770876466529,0.9620823620823622,0.9594017094017094
7,minkowski,iris,uniform,5,0.96,0.9596972228551175,0.9656565656565658,0.96
7,minkowski,iris,uniform,6,0.9537037037037037,0.9534758055268892,0.9581088664421998,0.9537037037037037
9,minkowski,iris,uniform,2,0.9466666666666667,0.9464739729693563,0.9507575757575758,0.9466666666666665
9,minkowski,iris,uniform,3,0.954248366013072,0.9542313895255071,0.9545660856935366,0.9542483660130717
9,minkowski,iris,uniform,4,0.9738247863247864,0.9737842190016103,0.9747405372405372,0.9738247863247863
9,minkowski,iris,uniform,5,0.96,0.9596972228551175,0.9656565656565658,0.96
9,minkowski,iris,uniform,6,0.9614197530864197,0.9612109658678287,0.9652076318742986,0.9614197530864197
11,minkowski,iris,uniform,2,0.9199999999999999,0.9189466139028013,0.9321563852813853,0.9199999999999999
11,minkowski,iris,uniform,3,0.9538398692810457,0.9537991279926764,0.9548838053740015,0.9538398692810457
11,minkowski,iris,uniform,4,0.9658119658119658,0.9657541599570585,0.9672410922410923,0.9658119658119658
11,minkowski,iris,uniform,5,0.9800000000000001,0.9799498746867169,0.9818181818181818,0.9800000000000001
11,minkowski,iris,uniform,6,0.9552469135802469,0.9551351144746398,0.9572530864197532,0.9552469135802469
13,minkowski,iris,uniform,2,0.9333333333333333,0.9332692307692307,0.9341492216854536,0.9333333333333333
13,minkowski,iris,uniform,3,0.9669117647058824,0.9668595878668618,0.9686962504299966,0.9669117647058824
13,minkowski,iris,uniform,4,0.9610042735042735,0.9609637061810975,0.9619200244200244,0.9610042735042735
13,minkowski,iris,uniform,5,0.9666666666666666,0.9666165413533834,0.9684848484848484,0.9666666666666666
13,minkowski,iris,uniform,6,0.960648148148148,0.960447483086802,0.9642817059483725,0.960648148148148
15,minkowski,iris,uniform,2,0.96,0.9599197366622281,0.9623778998778999,0.96
15,minkowski,iris,uniform,3,0.9595588235294118,0.9595327997605038,0.9602759622367465,0.9595588235294118
15,minkowski,iris,uniform,4,0.9599358974358974,0.9598901688756761,0.960830835830836,0.9599358974358975
15,minkowski,iris,uniform,5,0.9600000000000002,0.9598319029897977,0.9634343434343433,0.96
15,minkowski,iris,uniform,6,0.960648148148148,0.9605091159270726,0.9634259259259258,0.960648148148148
17,minkowski,iris,uniform,2,0.9533333333333334,0.9532610731968421,0.9554761904761905,0.9533333333333334
17,minkowski,iris,uniform,3,0.9530228758169934,0.9529117338257124,0.9545694301112256,0.9530228758169934
17,minkowski,iris,uniform,4,0.9524572649572649,0.9520294520294521,0.9586080586080586,0.952457264957265
17,minkowski,iris,uniform,5,0.96,0.9598997493734336,0.9622895622895623,0.96
17,minkowski,iris,uniform,6,0.9745370370370371,0.9744906929633452,0.975925925925926,0.9745370370370371
19,minkowski,iris,uniform,2,0.9333333333333333,0.9327489177489178,0.9410752688172044,0.9333333333333333
19,minkowski,iris,uniform,3,0.9673202614379085,0.9672578964245631,0.9690139701104613,0.9673202614379085
19,minkowski,iris,uniform,4,0.9599358974358974,0.9597408857916104,0.9646214896214897,0.9599358974358976
19,minkowski,iris,uniform,5,0.9533333333333334,0.953216374269006,0.9562289562289562,0.9533333333333334
19,minkowski,iris,uniform,6,0.9537037037037037,0.9534758055268893,0.9581088664421998,0.9537037037037037
21,minkowski,iris,uniform,2,0.96,0.9599197366622281,0.9623778998778999,0.96
21,minkowski,iris,uniform,3,0.9595588235294118,0.9595327997605038,0.9602759622367465,0.9595588235294118
21,minkowski,iris,uniform,4,0.9599358974358974,0.9595957129290463,0.9645604395604396,0.9599358974358975
21,minkowski,iris,uniform,5,0.9466666666666667,0.9462292093871042,0.9545454545454547,0.9466666666666665
21,minkowski,iris,uniform,6,0.9452160493827161,0.9448403142933587,0.948941798941799,0.9452160493827161
23,minkowski,iris,uniform,2,0.9533333333333334,0.9530730166462721,0.9569176034693276,0.9533333333333334
23,minkowski,iris,uniform,3,0.9607843137254902,0.9606481481481483,0.9633528265107213,0.9607843137254902
23,minkowski,iris,uniform,4,0.953525641025641,0.9532638134812048,0.9594627594627595,0.9535256410256411
23,minkowski,iris,uniform,5,0.9600000000000002,0.9599665831244778,0.9612121212121212,0.96
23,minkowski,iris,uniform,6,0.9544753086419754,0.9541511731398212,0.9591049382716049,0.9544753086419754
25,minkowski,iris,uniform,2,0.9466666666666667,0.9461926184615259,0.9519230769230769,0.9466666666666667
25,minkowski,iris,uniform,3,0.9595588235294118,0.9594874112347233,0.9616519512288346,0.9595588235294118
25,minkowski,iris,uniform,4,0.9599358974358974,0.9598380108887354,0.9626373626373627,0.9599358974358975
25,minkowski,iris,uniform,5,0.96,0.9593882533712929,0.9674436674436674,0.96
25,minkowski,iris,uniform,6,0.9529320987654321,0.95281217750258,0.9547178130511464,0.9529320987654321
27,minkowski,iris,uniform,2,0.9199999999999999,0.9194847020933978,0.926655719759168,0.92
27,minkowski,iris,uniform,3,0.9660947712418301,0.9660630886437339,0.9671750181554103,0.9660947712418301
27,minkowski,iris,uniform,4,0.9604700854700854,0.9603729603729604,0.9624542124542125,0.9604700854700855
27,minkowski,iris,uniform,5,0.96,0.9594895166304507,0.9664335664335664,0.96
27,minkowski,iris,uniform,6,0.9606481481481483,0.9603813455206645,0.9648148148148148,0.9606481481481483
29,minkowski,iris,uniform,2,0.9066666666666667,0.9056499056499056,0.9136804923325925,0.9066666666666667
29,minkowski,iris,uniform,3,0.9403594771241831,0.9400031989611372,0.9457996843961757,0.9403594771241831
29,minkowski,iris,uniform,4,0.9529914529914529,0.9528658378658378,0.9553571428571428,0.9529914529914529
29,minkowski,iris,uniform,5,0.9533333333333334,0.9531819447608921,0.9561616161616161,0.9533333333333334
29,minkowski,iris,uniform,6,0.9598765432098765,0.9597293888315561,0.9641975308641975,0.9598765432098765
3,chebyshev,iris,distance,2,0.9533333333333334,0.9533306655995732,0.9535897435897436,0.9533333333333334
3,chebyshev,iris,distance,3,0.9530228758169934,0.9529798755605207,0.954057734204793,0.9530228758169934
3,chebyshev,iris,distance,4,0.9599358974358974,0.9598901688756761,0.960830835830836,0.9599358974358975
3,chebyshev,iris,distance,5,0.9666666666666666,0.9665831244778612,0.9683501683501683,0.9666666666666666
3,chebyshev,iris,distance,6,0.9598765432098766,0.9598383212934296,0.9611111111111112,0.9598765432098766
5,chebyshev,iris,distance,2,0.9733333333333334,0.9733119658119658,0.974320987654321,0.9733333333333333
5,chebyshev,iris,distance,3,0.9665032679738562,0.9664431429137311,0.9684095860566448,0.9665032679738563
5,chebyshev,iris,distance,4,0.9663461538461539,0.9662577639751553,0.9685897435897436,0.9663461538461539
5,chebyshev,iris,distance,5,0.9666666666666668,0.9665152780942254,0.9694949494949496,0.9666666666666666
5,chebyshev,iris,distance,6,0.9668209876543211,0.9667555326224058,0.9688271604938272,0.9668209876543211
7,chebyshev,iris,distance,2,0.9666666666666667,0.9666212638901714,0.967824848259631,0.9666666666666667
7,chebyshev,iris,distance,3,0.9534313725490197,0.9533145413047374,0.9566682910981156,0.9534313725490197
7,chebyshev,iris,distance,4,0.9738247863247863,0.9737268997776245,0.9765262515262516,0.9738247863247864
7,chebyshev,iris,distance,5,0.9666666666666668,0.9665152780942254,0.9694949494949494,0.9666666666666666
7,chebyshev,iris,distance,6,0.9729938271604938,0.9728930168558652,0.9759259259259259,0.9729938271604938
9,chebyshev,iris,distance,2,0.96,0.9598068665097651,0.9646658152405279,0.96
9,chebyshev,iris,distance,3,0.9673202614379085,0.9671664073941114,0.9702614379084968,0.9673202614379085
9,chebyshev,iris,distance,4,0.9588675213675214,0.958724667710175,0.9617465867465869,0.9588675213675214
9,chebyshev,iris,distance,5,0.96,0.9599665831244778,0.9612121212121212,0.96
9,chebyshev,iris,distance,6,0.9668209876543209,0.9667937545388526,0.9675925925925926,0.9668209876543209
11,chebyshev,iris,distance,2,0.96,0.9599572649572649,0.960901771336554,0.96
11,chebyshev,iris,distance,3,0.9722222222222222,0.9721132897603485,0.9735449735449735,0.9722222222222222
11,chebyshev,iris,distance,4,0.9797008547008548,0.9795942329275663,0.9821428571428572,0.9797008547008548
11,chebyshev,iris,distance,5,0.9666666666666668,0.9664818612187034,0.9707070707070707,0.9666666666666668
11,chebyshev,iris,distance,6,0.9722222222222222,0.9721132897603487,0.9753086419753085,0.9722222222222222
13,chebyshev,iris,distance,2,0.96,0.9598768987054208,0.9622044622044623,0.96
13,chebyshev,iris,distance,3,0.9595588235294118,0.9593846045458948,0.9628540305010893,0.9595588235294117
13,chebyshev,iris,distance,4,0.9663461538461539,0.9662909286097692,0.9676989676989678,0.9663461538461539
13,chebyshev,iris,distance,5,0.9666666666666666,0.9666499582289056,0.9672727272727272,0.9666666666666666
13,chebyshev,iris,distance,6,0.9652777777777778,0.9650300861085176,0.9688271604938272,0.9652777777777778
15,chebyshev,iris,distance,2,0.9466666666666667,0.9466453247965854,0.9471153846153846,0.9466666666666665
15,chebyshev,iris,distance,3,0.9665032679738562,0.9662949476991223,0.9709876543209877,0.9665032679738562
15,chebyshev,iris,distance,4,0.9599358974358974,0.9597408857916104,0.9646214896214897,0.9599358974358976
15,chebyshev,iris,distance,5,0.96,0.9598997493734336,0.9622895622895623,0.96
15,chebyshev,iris,distance,6,0.9668209876543209,0.9667555326224057,0.9688271604938272,0.9668209876543209
17,chebyshev,iris,distance,2,0.96,0.9598768987054208,0.9622044622044623,0.96
17,chebyshev,iris,distance,3,0.9534313725490197,0.9534257137198314,0.9537944807552651,0.9534313725490197
17,chebyshev,iris,distance,4,0.953525641025641,0.9534130965652705,0.9556721056721058,0.9535256410256411
17,chebyshev,iris,distance,5,0.9666666666666668,0.9666165413533834,0.9684848484848484,0.9666666666666666
17,chebyshev,iris,distance,6,0.9660493827160493,0.9659758055268891,0.9682098765432099,0.9660493827160493
19,chebyshev,iris,distance,2,0.96,0.9599839935974389,0.9604700854700855,0.96
19,chebyshev,iris,distance,3,0.9599673202614379,0.959944684944685,0.9606481481481483,0.9599673202614379
19,chebyshev,iris,distance,4,0.9604700854700854,0.960334973668307,0.9632936507936508,0.9604700854700855
19,chebyshev,iris,distance,5,0.9666666666666666,0.9661728917348785,0.9724941724941726,0.9666666666666666
19,chebyshev,iris,distance,6,0.9591049382716049,0.9587836694131845,0.9648148148148148,0.9591049382716049
21,chebyshev,iris,distance,2,0.96,0.959983993597439,0.9604700854700854,0.96
21,chebyshev,iris,distance,3,0.960375816993464,0.9602725927994746,0.9623399457248786,0.960375816993464
21,chebyshev,iris,distance,4,0.9524572649572649,0.9524210330732069,0.9528943278943279,0.9524572649572649
21,chebyshev,iris,distance,5,0.96,0.9598319029897976,0.9634343434343435,0.96
21,chebyshev,iris,distance,6,0.960648148148148,0.9605473378435195,0.9635802469135802,0.960648148148148
23,chebyshev,iris,distance,2,0.9666666666666667,0.9665462331058476,0.9686147186147187,0.9666666666666666
23,chebyshev,iris,distance,3,0.9599673202614379,0.9598902187137481,0.9621913580246914,0.9599673202614379
23,chebyshev,iris,distance,4,0.9604700854700855,0.9603696183044009,0.9632478632478634,0.9604700854700855
23,chebyshev,iris,distance,5,0.9533333333333334,0.95328320802005,0.9538047138047137,0.9533333333333334
23,chebyshev,iris,distance,6,0.952932098765432,0.9527577112716431,0.9562610229276896,0.952932098765432
25,chebyshev,iris,distance,2,0.96,0.9597423510466989,0.963327859879584,0.96
25,chebyshev,iris,distance,3,0.9599673202614379,0.9599219317356572,0.9613433092535261,0.9599673202614379
25,chebyshev,iris,distance,4,0.9524572649572649,0.9524020397208802,0.9538100788100788,0.9524572649572649
25,chebyshev,iris,distance,5,0.9666666666666666,0.9664818612187034,0.9707070707070707,0.9666666666666666
25,chebyshev,iris,distance,6,0.960648148148148,0.9605473378435195,0.9635802469135802,0.960648148148148
27,chebyshev,iris,distance,2,0.9666666666666667,0.9665462331058476,0.9686147186147187,0.9666666666666666
27,chebyshev,iris,distance,3,0.9669117647058822,0.9668823410758894,0.9680010893246188,0.9669117647058822
27,chebyshev,iris,distance,4,0.9588675213675213,0.9588217928073,0.9597624597624598,0.9588675213675213
27,chebyshev,iris,distance,5,0.96,0.95986531986532,0.9622222222222223,0.96
