Data_set,Boot,Max_sample,Cv,Max_feature,Number_of_est,Accuracy,F-score
wine.data,True,60,4,8,5,0.9719638242894056,0.9727865961199295
wine.data,True,60,6,8,5,0.8825396825396826,0.875002909241208
wine.data,True,60,8,8,5,0.9443934688499905,0.9467604563192799
wine.data,True,60,2,8,10,0.9773989898989899,0.9779157423667182
wine.data,True,60,4,8,10,0.9494832041343668,0.9512569420974594
wine.data,True,60,6,8,10,0.9440476190476191,0.9433445316426425
wine.data,True,60,8,8,10,0.9599567099567099,0.9601507697095932
wine.data,True,60,2,8,15,0.9607323232323233,0.9617334650117471
wine.data,True,60,4,8,15,0.9717054263565892,0.9725983592361677
wine.data,True,60,6,8,15,0.9722222222222223,0.9740936339401812
wine.data,True,60,8,8,15,0.9495576886881235,0.9511695591416953
wine.data,True,60,2,8,20,0.9608585858585859,0.9612526652452027
wine.data,True,60,4,8,20,0.9492248062015504,0.9508869575852499
wine.data,True,60,6,8,20,0.9722222222222222,0.9738740467640724
wine.data,True,60,8,8,20,0.960450781102955,0.9616204916514515
wine.data,True,60,2,10,5,0.9664141414141414,0.9677300298650533
wine.data,True,60,4,10,5,0.9322997416020672,0.935355959751121
wine.data,True,60,6,10,5,0.9492063492063493,0.9504432970747413
wine.data,True,60,8,10,5,0.9441699604743083,0.9469080884715559
wine.data,True,60,2,10,10,0.9830808080808081,0.9837921616368723
wine.data,True,60,4,10,10,0.9833333333333333,0.9841474654377881
wine.data,True,60,6,10,10,0.9432539682539683,0.9450914941171593
wine.data,True,60,8,10,10,0.9720614530397139,0.9725945827048769
wine.data,True,60,2,10,15,0.9661616161616162,0.9661829713351962
wine.data,True,60,4,10,15,0.9489664082687338,0.9489120728037378
wine.data,True,60,6,10,15,0.9722222222222223,0.972348828273807
wine.data,True,60,8,10,15,0.9614624505928854,0.962183969353087
wine.data,True,60,2,10,20,0.9718434343434343,0.9721378186515388
wine.data,True,60,4,10,20,0.9722222222222222,0.972959109596918
wine.data,True,60,6,10,20,0.9718253968253969,0.9726186478104637
wine.data,True,60,8,10,20,0.9661561264822135,0.9669906525363181
wine.data,True,60,2,12,5,0.9494949494949495,0.9516408910120665
wine.data,True,60,4,12,5,0.9608527131782946,0.9619704429459478
wine.data,True,60,6,12,5,0.9666666666666668,0.9670827443845346
wine.data,True,60,8,12,5,0.9387116506681723,0.9386809244104136
wine.data,True,60,2,12,10,0.9660353535353536,0.9659908057416928
wine.data,True,60,4,12,10,0.9661498708010335,0.9674877060005144
wine.data,True,60,6,12,10,0.9611111111111111,0.9614553001701339
wine.data,True,60,8,12,10,0.9545219273480143,0.9562710913813856
wine.data,True,60,2,12,15,0.9494949494949495,0.9512599224948486
wine.data,True,60,4,12,15,0.9666666666666667,0.9661341362529817
wine.data,True,60,6,12,15,0.9718253968253969,0.9728924755765517
wine.data,True,60,8,12,15,0.9664031620553359,0.967903828197946
wine.data,True,60,2,12,20,0.9829545454545454,0.9835803973330626
wine.data,True,60,4,12,20,0.9772609819121447,0.978243161408484
wine.data,True,60,6,12,20,0.9718253968253969,0.9715499902200668
wine.data,True,60,8,12,20,0.9666501976284585,0.9674026273290979
wine.data,True,60,2,14,5,0.9661616161616162,0.9662675070028012
wine.data,True,60,4,14,5,0.9383720930232559,0.9391962992194797
wine.data,True,60,6,14,5,0.965873015873016,0.9673009391908302
wine.data,True,60,8,14,5,0.9612154150197628,0.9626469706191069
wine.data,True,60,2,14,10,0.9775252525252525,0.9779763141711255
wine.data,True,60,4,14,10,0.9550387596899225,0.9554038330248008
wine.data,True,60,6,14,10,0.9888888888888889,0.989255605623892
wine.data,True,60,8,14,10,0.9728260869565217,0.9735603985797484
wine.data,True,60,2,14,15,0.9772727272727273,0.9772702095733004
wine.data,True,60,4,14,15,0.9719638242894058,0.9727950015592304
wine.data,True,60,6,14,15,0.9777777777777779,0.9780571824689471
wine.data,True,60,8,14,15,0.9774962356484096,0.9778029160382102
wine.data,True,60,2,14,20,0.9438131313131313,0.9454940549584749
wine.data,True,60,4,14,20,0.9664082687338501,0.9670399662207554
wine.data,True,60,6,14,20,0.9773809523809525,0.9777831064006861
wine.data,True,60,8,14,20,0.9609683794466404,0.9610205086308028
wine.data,True,80,2,2,5,0.7202020202020203,0.6963217388923244
wine.data,True,80,4,2,5,0.7587855297157623,0.7316902710912125
wine.data,True,80,6,2,5,0.7952380952380952,0.7763200228104837
wine.data,True,80,8,2,5,0.7409420289855073,0.69298266412237
wine.data,True,80,2,2,10,0.7224747474747475,0.6717627469760107
wine.data,True,80,4,2,10,0.8281653746770026,0.8032444047218749
wine.data,True,80,6,2,10,0.8603174603174604,0.8542284319671362
wine.data,True,80,8,2,10,0.8603307923960097,0.854566298879127
wine.data,True,80,2,2,15,0.943939393939394,0.9450943647180206
wine.data,True,80,4,2,15,0.8527131782945737,0.8499144218400709
wine.data,True,80,6,2,15,0.9269841269841271,0.928525485331471
wine.data,True,80,8,2,15,0.8648244871070958,0.8469054659280318
wine.data,True,80,2,2,20,0.731060606060606,0.7083820484715625
wine.data,True,80,4,2,20,0.8593023255813954,0.8582852155096778
wine.data,True,80,6,2,20,0.8555555555555556,0.8309997687421978
wine.data,True,80,8,2,20,0.8704592508940334,0.8682518719203501
wine.data,True,80,2,4,5,0.6291666666666667,0.5839032020610968
wine.data,True,80,4,4,5,0.8587855297157623,0.8556089181239107
wine.data,True,80,6,4,5,0.8924603174603175,0.8931513380149846
wine.data,True,80,8,4,5,0.8374505928853755,0.8120989410772692
wine.data,True,80,2,4,10,0.8603535353535353,0.8474214306934895
wine.data,True,80,4,4,10,0.9156330749354005,0.9194050505551045
wine.data,True,80,6,4,10,0.8876984126984128,0.887464705617889
wine.data,True,80,8,4,10,0.9389586862412949,0.941466309819638
wine.data,True,80,2,4,15,0.8823232323232323,0.8881711027655754
wine.data,True,80,4,4,15,0.9090439276485789,0.9070940198911782
wine.data,True,80,6,4,15,0.9662698412698413,0.9673758244716651
wine.data,True,80,8,4,15,0.8880458309806136,0.8852305979337713
wine.data,True,80,2,4,20,0.9266414141414141,0.9275122968577918
wine.data,True,80,4,4,20,0.9217054263565891,0.9226041956936168
wine.data,True,80,6,4,20,0.9158730158730158,0.9136402370801638
wine.data,True,80,8,4,20,0.9441464332768681,0.9444709293974
wine.data,True,80,2,6,5,0.9488636363636364,0.9489896628746559
wine.data,True,80,4,6,5,0.9217054263565891,0.9228742068331851
wine.data,True,80,6,6,5,0.9329365079365081,0.9335577281402202
wine.data,True,80,8,6,5,0.9428642010163749,0.9445037304170432
wine.data,True,80,2,6,10,0.8645202020202021,0.8629192965113897
wine.data,True,80,4,6,10,0.9494832041343669,0.9497068242992156
wine.data,True,80,6,6,10,0.9325396825396827,0.9325384933654327
wine.data,True,80,8,6,10,0.9490871447393187,0.9484816535803378
wine.data,True,80,2,6,15,0.9553030303030303,0.9567868778294644
wine.data,True,80,4,6,15,0.9492248062015504,0.9506688173401188
wine.data,True,80,6,6,15,0.9773809523809525,0.9774530101895831
wine.data,True,80,8,6,15,0.9664031620553359,0.967228037700174
wine.data,True,80,2,6,20,0.9436868686868687,0.9457347887557781
wine.data,True,80,4,6,20,0.9664082687338501,0.9671679618634569
wine.data,True,80,6,6,20,0.9714285714285715,0.97281389748882
wine.data,True,80,8,6,20,0.9715673818934689,0.9722494052215415
wine.data,True,80,2,8,5,0.9205808080808081,0.9198433032766371
wine.data,True,80,4,8,5,0.9145994832041343,0.9144256312947014
wine.data,True,80,6,8,5,0.9214285714285716,0.9240227345512938
wine.data,True,80,8,8,5,0.9666501976284585,0.9670899770164476
wine.data,True,80,2,8,10,0.9436868686868687,0.9448770402444291
wine.data,True,80,4,8,10,0.9259689922480621,0.9260523591888236
wine.data,True,80,6,8,10,0.9500000000000001,0.9520562171659224
wine.data,True,80,8,8,10,0.9330533596837944,0.9352978899612027
wine.data,True,80,2,8,15,0.9381313131313131,0.939142633903884
wine.data,True,80,4,8,15,0.9545219638242894,0.9549934991917914
wine.data,True,80,6,8,15,0.9833333333333334,0.9841946440411914
wine.data,True,80,8,8,15,0.9609683794466404,0.9616913358399427
wine.data,True,80,2,8,20,0.9718434343434343,0.9727564625987891
wine.data,True,80,4,8,20,0.9658914728682171,0.9666590736576997
wine.data,True,80,6,8,20,0.9662698412698413,0.9672299558475356
wine.data,True,80,8,8,20,0.9550159984942594,0.9558034217960689
wine.data,True,80,2,10,5,0.9606060606060607,0.9619463182336208
wine.data,True,80,4,10,5,0.960594315245478,0.9614858612513278
wine.data,True,80,6,10,5,0.9551587301587302,0.9553320900203612
wine.data,True,80,8,10,5,0.9315005646527386,0.9326421374892737
wine.data,True,80,2,10,10,0.9434343434343434,0.9445877263074265
wine.data,True,80,4,10,10,0.9770025839793282,0.9774804192907641
wine.data,True,80,6,10,10,0.9722222222222222,0.9737678964519724
wine.data,True,80,8,10,10,0.9718144174665915,0.9720943859488751
wine.data,True,80,2,10,15,0.9715909090909092,0.971820010055304
wine.data,True,80,4,10,15,0.9722222222222222,0.973099165619327
wine.data,True,80,6,10,15,0.9722222222222223,0.9735085334475113
wine.data,True,80,8,10,15,0.9374529456051195,0.9397650620077092
wine.data,True,80,2,10,20,0.9718434343434343,0.9721502822658261
wine.data,True,80,4,10,20,0.9775193798449613,0.9775746813475008
wine.data,True,80,6,10,20,0.9666666666666667,0.9673904394862801
wine.data,True,80,8,10,20,0.978013833992095,0.9788838612368025
wine.data,True,80,2,12,5,0.8531565656565656,0.8514183748476452
wine.data,True,80,4,12,5,0.9664082687338501,0.9672138461793635
wine.data,True,80,6,12,5,0.9555555555555556,0.9567560884696432
wine.data,True,80,8,12,5,0.9609448522492001,0.9621880162321339
wine.data,True,80,2,12,10,0.9383838383838384,0.9382218770983093
wine.data,True,80,4,12,10,0.960594315245478,0.9610036354018159
